quality_id,farm_id,product_id,check_date,location,status,remarks
1,1427,1410,2023-12-21,1427.0,Passed,Below acceptable threshold
2,1801,81,2020-06-18,1801.0,Failed,Some spoilage detected
3,1919,610,2023-03-28,1919.0,Passed,Some spoilage detected
4,1470,501,2022-03-18,1470.0,Failed,Standard grade quality
5,1063,618,2021-06-01,1063.0,Failed,Meets organic certification standards
6,1465,447,2020-05-11,1465.0,Pending Review,Product quality meets standards
7,1541,350,2024-06-11,1541.0,Failed,Texture and firmness acceptable
8,173,1634,2023-08-27,173.0,Pending Review,Standard grade quality
9,86,53,2024-06-03,86.0,Failed,Color and appearance good
10,1867,1763,2022-10-07,1867.0,Passed,Meets organic certification standards
11,1892,1329,2023-05-25,1892.0,Rejected,Packaging integrity maintained
12,62,1716,2022-07-09,62.0,Rejected,Excellent quality
13,887,168,2024-08-26,887.0,Pending Review,Excellent quality
14,123,1473,2023-07-12,123.0,Passed,Premium grade quality
15,1994,1872,2023-10-17,1994.0,Failed,Below acceptable threshold
16,1512,328,2024-12-20,1512.0,Rejected,Product quality meets standards
17,1697,1210,2023-01-24,1697.0,Failed,Product quality meets standards
18,1161,1065,2022-05-05,1161.0,Rejected,Freshness level acceptable
19,1918,1757,2023-08-28,1918.0,Rejected,Requires further inspection
20,832,653,2024-11-15,832.0,Rejected,Texture and firmness acceptable
21,522,631,2020-10-26,522.0,Rejected,Some spoilage detected
22,1824,1558,2023-04-21,1824.0,Conditional Pass,Standard grade quality
23,1690,1925,2023-08-23,1690.0,Conditional Pass,Standard grade quality
24,545,115,2024-10-30,545.0,Pending Review,Temperature control maintained
25,648,89,2021-12-15,648.0,Passed,Color and appearance good
26,1233,1610,2020-03-19,1233.0,Failed,Size and weight within specifications
27,1736,732,2020-09-22,1736.0,Rejected,Premium grade quality
28,1358,687,2023-07-06,1358.0,Passed,Premium grade quality
29,1496,1738,2023-01-27,1496.0,Conditional Pass,Product quality meets standards
30,1815,1477,2020-09-15,1815.0,Rejected,Packaging integrity maintained
31,999,88,2020-02-24,999.0,Failed,Excellent quality
32,58,1670,2023-11-17,58.0,Rejected,Packaging integrity maintained
33,142,788,2022-07-16,142.0,Conditional Pass,Standard grade quality
34,1753,1673,2024-05-14,1753.0,Rejected,Freshness level acceptable
35,1082,1146,2022-10-01,1082.0,Pending Review,Standard grade quality
36,266,1695,2020-02-05,266.0,Pending Review,Premium grade quality
37,396,1,2021-10-20,396.0,Rejected,Size and weight within specifications
38,547,672,2022-02-09,547.0,Rejected,Meets organic certification standards
39,1865,1249,2022-03-17,1865.0,Conditional Pass,Standard grade quality
40,1521,1606,2021-11-15,1521.0,Failed,Temperature control maintained
41,540,1583,2020-08-07,540.0,Rejected,Color and appearance good
42,1765,242,2022-07-09,1765.0,Conditional Pass,Meets organic certification standards
43,315,870,2024-03-04,315.0,Pending Review,Size and weight within specifications
44,1635,1177,2023-10-23,1635.0,Rejected,Standard grade quality
45,923,411,2020-01-30,923.0,Conditional Pass,Product quality meets standards
46,642,642,2021-03-16,642.0,Passed,Some spoilage detected
47,583,370,2021-07-28,583.0,Failed,Minor defects detected
48,1844,801,2021-05-06,1844.0,Pending Review,Standard grade quality
49,371,302,2020-03-05,371.0,Passed,Some spoilage detected
50,559,540,2021-08-18,559.0,Passed,Packaging integrity maintained
